Date,Time,Nitrogen dioxide,Status
01/03/2021,01:00:00,24.06561,V ugm-3
01/03/2021,02:00:00,20.16134,V ugm-3
01/03/2021,03:00:00,15.40903,V ugm-3
01/03/2021,04:00:00,11.9528,V ugm-3
01/03/2021,05:00:00,12.04881,V ugm-3
01/03/2021,06:00:00,15.457,V ugm-3
01/03/2021,07:00:00,24.04941,V ugm-3
01/03/2021,08:00:00,31.15366,V ugm-3
01/03/2021,09:00:00,29.66522,V ugm-3
01/03/2021,10:00:00,27.74507,V ugm-3
01/03/2021,11:00:00,24.52882,V ugm-3
01/03/2021,12:00:00,22.60858,V ugm-3
01/03/2021,13:00:00,22.65634,V ugm-3
01/03/2021,14:00:00,20.78444,V ugm-3
01/03/2021,15:00:00,22.36862,V ugm-3
01/03/2021,16:00:00,24.2408,V ugm-3
01/03/2021,17:00:00,27.88935,V ugm-3
01/03/2021,18:00:00,36.14602,V ugm-3
01/03/2021,19:00:00,41.42637,V ugm-3
01/03/2021,20:00:00,41.23433,V ugm-3
01/03/2021,21:00:00,29.04188,V ugm-3
01/03/2021,22:00:00,33.55417,V ugm-3
01/03/2021,23:00:00,28.2259,V ugm-3
01/03/2021,00:00:00,21.98548,V ugm-3
02/03/2021,01:00:00,18.18377,V ugm-3
02/03/2021,02:00:00,18.11961,V ugm-3
02/03/2021,03:00:00,15.22244,V ugm-3
02/03/2021,04:00:00,15.27053,V ugm-3
02/03/2021,05:00:00,16.80715,V ugm-3
02/03/2021,06:00:00,15.65458,V ugm-3
02/03/2021,07:00:00,18.43972,V ugm-3
02/03/2021,08:00:00,25.5463,V ugm-3
02/03/2021,09:00:00,25.11365,V ugm-3
02/03/2021,10:00:00,24.53709,V ugm-3
02/03/2021,11:00:00,26.07319,V ugm-3
02/03/2021,12:00:00,24.63263,V ugm-3
02/03/2021,13:00:00,24.96872,V ugm-3
02/03/2021,14:00:00,22.75945,V ugm-3
02/03/2021,15:00:00,22.80742,V ugm-3
02/03/2021,16:00:00,26.45698,V ugm-3
02/03/2021,17:00:00,32.45858,V ugm-3
02/03/2021,18:00:00,38.75088,V ugm-3
02/03/2021,19:00:00,42.15991,V ugm-3
02/03/2021,20:00:00,44.70276,V ugm-3
02/03/2021,21:00:00,42.4468,V ugm-3
02/03/2021,22:00:00,39.75782,V ugm-3
02/03/2021,23:00:00,37.74209,V ugm-3
02/03/2021,0:00:00,35.774,V ugm-3
03/03/2021,01:00:00,37.78652,V ugm-3
03/03/2021,02:00:00,41.4327,V ugm-3
03/03/2021,03:00:00,42.69779,V ugm-3
03/03/2021,04:00:00,42.98929,V ugm-3
03/03/2021,05:00:00,41.74139,V ugm-3
03/03/2021,06:00:00,42.36532,V ugm-3
03/03/2021,07:00:00,43.6601,V ugm-3
03/03/2021,08:00:00,41.97715,V ugm-3
03/03/2021,09:00:00,50.75732,V ugm-3
03/03/2021,10:00:00,52.15182,V ugm-3
03/03/2021,11:00:00,49.65432,V ugm-3
03/03/2021,12:00:00,47.25389,V ugm-3
03/03/2021,13:00:00,44.61367,V ugm-3
03/03/2021,14:00:00,51.52821,V ugm-3
03/03/2021,15:00:00,57.43398,V ugm-3
03/03/2021,16:00:00,50.56893,V ugm-3
03/03/2021,17:00:00,54.40504,V ugm-3
03/03/2021,18:00:00,55.50907,V ugm-3
03/03/2021,19:00:00,57.09349,V ugm-3
03/03/2021,20:00:00,54.79141,V ugm-3
03/03/2021,21:00:00,49.56261,V ugm-3
03/03/2021,22:00:00,48.88898,V ugm-3
03/03/2021,23:00:00,49.03243,V ugm-3
03/03/2021,0:00:00,46.10563,V ugm-3
04/03/2021,01:00:00,43.43278,V ugm-3
04/03/2021,02:00:00,36.51849,V ugm-3
04/03/2021,03:00:00,29.84109,V ugm-3
04/03/2021,04:00:00,23.8349,V ugm-3
04/03/2021,05:00:00,14.84882,V ugm-3
04/03/2021,06:00:00,11.05249,V ugm-3
04/03/2021,07:00:00,13.31105,V ugm-3
04/03/2021,08:00:00,19.12551,V ugm-3
04/03/2021,09:00:00,19.17328,V ugm-3
04/03/2021,10:00:00,15.8097,V ugm-3
04/03/2021,11:00:00,20.71117,V ugm-3
04/03/2021,12:00:00,19.70195,V ugm-3
04/03/2021,13:00:00,14.84857,V ugm-3
04/03/2021,14:00:00,12.73426,V ugm-3
04/03/2021,15:00:00,11.3408,V ugm-3
04/03/2021,16:00:00,14.70421,V ugm-3
04/03/2021,17:00:00,18.50078,V ugm-3
04/03/2021,18:00:00,20.90389,V ugm-3
04/03/2021,19:00:00,25.75754,V ugm-3
04/03/2021,20:00:00,26.0939,V ugm-3
04/03/2021,21:00:00,11.77343,V ugm-3
04/03/2021,22:00:00,8.50574,V ugm-3
04/03/2021,23:00:00,6.43935,V ugm-3
04/03/2021,0:00:00,7.88102,V ugm-3
05/03/2021,01:00:00,7.37108,V ugm-3
05/03/2021,02:00:00,7.56337,V ugm-3
05/03/2021,03:00:00,6.68201,V ugm-3
05/03/2021,04:00:00,5.33598,V ugm-3
05/03/2021,05:00:00,6.3936,V ugm-3
05/03/2021,06:00:00,8.98948,V ugm-3
05/03/2021,07:00:00,17.93072,V ugm-3
05/03/2021,08:00:00,25.52556,V ugm-3
05/03/2021,09:00:00,22.64023,V ugm-3
05/03/2021,10:00:00,16.53594,V ugm-3
05/03/2021,11:00:00,10.7678,V ugm-3
05/03/2021,12:00:00,10.57544,V ugm-3
05/03/2021,13:00:00,10.04669,V ugm-3
05/03/2021,14:00:00,12.21001,V ugm-3
05/03/2021,15:00:00,11.00826,V ugm-3
05/03/2021,16:00:00,13.07536,V ugm-3
05/03/2021,17:00:00,12.88323,V ugm-3
05/03/2021,18:00:00,17.40206,V ugm-3
05/03/2021,19:00:00,25.04488,V ugm-3
05/03/2021,20:00:00,18.21934,V ugm-3
05/03/2021,21:00:00,19.75766,V ugm-3
05/03/2021,22:00:00,23.17081,V ugm-3
05/03/2021,23:00:00,20.76715,V ugm-3
05/03/2021,0:00:00,21.10353,V ugm-3
06/03/2021,01:00:00,22.24958,V ugm-3
06/03/2021,02:00:00,19.36405,V ugm-3
06/03/2021,03:00:00,22.98679,V ugm-3
06/03/2021,04:00:00,23.90064,V ugm-3
06/03/2021,05:00:00,17.79318,V ugm-3
06/03/2021,06:00:00,17.69703,V ugm-3
06/03/2021,07:00:00,23.08254,V ugm-3
06/03/2021,08:00:00,30.6805,V ugm-3
06/03/2021,09:00:00,31.92973,V ugm-3
06/03/2021,10:00:00,21.87962,V ugm-3
06/03/2021,11:00:00,11.63697,V ugm-3
06/03/2021,12:00:00,8.89612,V ugm-3
06/03/2021,13:00:00,9.85799,V ugm-3
06/03/2021,14:00:00,13.51262,V ugm-3
06/03/2021,15:00:00,17.69641,V ugm-3
06/03/2021,16:00:00,17.79274,V ugm-3
06/03/2021,17:00:00,20.29348,V ugm-3
06/03/2021,18:00:00,17.21603,V ugm-3
06/03/2021,19:00:00,17.02373,V ugm-3
06/03/2021,20:00:00,22.02507,V ugm-3
06/03/2021,21:00:00,15.96578,V ugm-3
06/03/2021,22:00:00,19.71681,V ugm-3
06/03/2021,23:00:00,30.8255,V ugm-3
06/03/2021,0:00:00,52.12549,V ugm-3
07/03/2021,01:00:00,49.77316,V ugm-3
07/03/2021,02:00:00,52.01412,V ugm-3
07/03/2021,03:00:00,52.90853,V ugm-3
07/03/2021,04:00:00,44.87973,V ugm-3
07/03/2021,05:00:00,36.94583,V ugm-3
07/03/2021,06:00:00,25.78521,V ugm-3
07/03/2021,07:00:00,23.13927,V ugm-3
07/03/2021,08:00:00,13.51775,V ugm-3
07/03/2021,09:00:00,8.08178,V ugm-3
07/03/2021,10:00:00,6.10942,V ugm-3
07/03/2021,11:00:00,6.34989,V ugm-3
07/03/2021,12:00:00,5.43581,V ugm-3
07/03/2021,13:00:00,6.20533,V ugm-3
07/03/2021,14:00:00,6.0611,V ugm-3
07/03/2021,15:00:00,7.40807,V ugm-3
07/03/2021,16:00:00,8.22598,V ugm-3
07/03/2021,17:00:00,9.81364,V ugm-3
07/03/2021,18:00:00,15.53829,V ugm-3
